dimension,segment,customer_count,actual_churn_rate,avg_predicted_probability,false_negative_count,false_negative_rate,false_positive_count,false_positive_rate,expected_monthly_revenue_at_risk
Contract,Two year,327,0.024464831804281346,0.08363817227770794,8,1.0,0,0.0,2064.3093667214735
Contract,One year,290,0.13793103448275862,0.262198304821705,19,0.475,51,0.204,6161.749969639257
InternetService,No,312,0.07692307692307693,0.18243580399893033,10,0.4166666666666667,24,0.08333333333333333,1174.6995589466765
TechSupport,No internet service,312,0.07692307692307693,0.18243580399893033,10,0.4166666666666667,24,0.08333333333333333,1174.6995589466765
TechSupport,Yes,382,0.14659685863874344,0.2916481138270407,22,0.39285714285714285,89,0.27300613496932513,9086.31183659751
tenure_bucket,49+ months,435,0.08275862068965517,0.21224091122376507,12,0.3333333333333333,72,0.18045112781954886,8260.689251913502
PaymentMethod,Bank transfer (automatic),307,0.19543973941368079,0.2870631778691607,18,0.3,54,0.21862348178137653,6742.814063244127
InternetService,DSL,482,0.1887966804979253,0.33822454993624657,25,0.27472527472527475,127,0.3248081841432225,8400.167230431734
tenure_bucket,25-48 months,315,0.21587301587301588,0.35513663107440585,18,0.2647058823529412,84,0.340080971659919,8912.877724504471
monthly_charge_bucket,0-35,357,0.1092436974789916,0.22863057785842264,10,0.2564102564102564,43,0.13522012578616352,1871.551347281225
PaymentMethod,Credit card (automatic),306,0.14705882352941177,0.30507338734867134,10,0.2222222222222222,68,0.26053639846743293,7034.903084863723
monthly_charge_bucket,36-70,355,0.24788732394366197,0.41052746870358225,19,0.2159090909090909,112,0.41947565543071164,8077.509990249202
PaymentMethod,Mailed check,336,0.19047619047619047,0.36354658749353674,10,0.15625,90,0.33088235294117646,6268.719584722445
tenure_bucket,13-24 months,206,0.2961165048543689,0.46942125886534025,5,0.08196721311475409,65,0.4482758620689655,7213.798313883505
monthly_charge_bucket,90+,329,0.3009118541033435,0.5032702966007238,7,0.0707070707070707,129,0.5608695652173913,16535.076637640035
monthly_charge_bucket,71-90,366,0.40437158469945356,0.5556867168351112,9,0.060810810810810814,117,0.536697247706422,16234.14840859417
Contract,Month-to-month,790,0.41265822784810124,0.6239600542979904,18,0.05521472392638037,350,0.7543103448275862,34492.227047403896
tenure_bucket,0-12 months,451,0.4634146341463415,0.6550377364334404,10,0.04784688995215311,180,0.743801652892562,18330.921093463156
TechSupport,No,713,0.4123422159887798,0.6002609863939994,13,0.04421768707482993,288,0.6873508353221957,32457.274988220444
InternetService,Fiber optic,613,0.42251223491027734,0.6139827564626106,10,0.03861003861003861,250,0.7062146892655368,33143.41959438622
PaymentMethod,Electronic check,458,0.44759825327510916,0.6390461312143303,7,0.03414634146341464,189,0.7470355731225297,22671.84965093434
