dimension,segment,customer_count,avg_predicted_probability,high_risk_rate,monthly_revenue,expected_monthly_revenue_at_risk,avg_monthly_charges,actual_churn_rate,actual_churn_count,false_negative_count,false_positive_count,false_negative_rate,false_positive_rate
Contract,Month-to-month,3875,0.6211752177476882,0.5055483870967742,257294.15000000002,170569.29916286765,66.39849032258066,0.4270967741935484,1655,81,1611,0.04894259818731118,0.7256756756756757
InternetService,Fiber optic,3096,0.5966686519952996,0.5051679586563308,283284.4,164326.50990556943,91.50012919896642,0.4189276485788114,1297,51,1172,0.03932151117964534,0.651473040578099
TechSupport,No,3472,0.5900570728165883,0.5005760368663594,258958.7,155391.7867443949,74.58487903225807,0.41647465437788017,1446,66,1302,0.04564315352697095,0.6426456071076012
PaymentMethod,Electronic check,2365,0.6293211725089565,0.5792811839323467,180345.0,116235.97568515762,76.25581395348837,0.4528541226215645,1071,41,899,0.03828197945845005,0.6947449768160742
tenure_bucket,0-12 months,2175,0.6503662898417177,0.6041379310344828,122174.15,88871.70140364952,56.172022988505745,0.4767816091954023,1037,40,792,0.03857280617164899,0.6959578207381371
monthly_charge_bucket,90+,1739,0.5016785682323097,0.33870040253018974,175671.5,87120.98033935875,101.01868890166763,0.32777458309373203,570,44,607,0.07719298245614035,0.5192472198460223
monthly_charge_bucket,71-90,1842,0.5342095712853048,0.4826275787187839,147476.59999999998,78645.97209428233,80.06330076004342,0.3783930510314875,697,33,564,0.047345767575322814,0.4925764192139738
TechSupport,Yes,2040,0.30079181369430585,0.10833333333333334,164666.35000000003,51159.6431525128,80.71879901960786,0.15196078431372548,310,84,426,0.2709677419354839,0.24624277456647398
tenure_bucket,25-48 months,1594,0.35615081230232226,0.15307402760351319,105093.3,45751.54407508523,65.93055207026349,0.2038895859473024,325,59,409,0.18153846153846154,0.322301024428684
tenure_bucket,49+ months,2239,0.21384944324849597,0.02813756141134435,165563.7,42468.03707482144,73.94537740062529,0.09513175524787852,213,76,326,0.3568075117370892,0.16090819348469892
InternetService,DSL,2416,0.33733746282207405,0.1634933774834437,140340.65000000002,42224.919991338254,58.08801738410597,0.18998344370860928,459,99,556,0.21568627450980393,0.28410832907511496
monthly_charge_bucket,36-70,1722,0.4022212714199128,0.23170731707317074,94426.65,37567.70891826674,54.83545296167247,0.23983739837398374,413,65,475,0.15738498789346247,0.36287242169595113
tenure_bucket,13-24 months,1024,0.4603237906740105,0.3349609375,62829.85,35024.538787664846,61.357275390625,0.287109375,294,29,312,0.09863945578231292,0.4273972602739726
PaymentMethod,Bank transfer (automatic),1542,0.2959773853111978,0.10440985732814527,103631.0,34854.2757657202,67.20557717250324,0.16731517509727625,258,60,305,0.23255813953488372,0.23753894080996885
PaymentMethod,Credit card (automatic),1521,0.2856474794241686,0.10256410256410256,101175.79999999999,32658.252497015335,66.51926364234056,0.1525312294543064,232,56,285,0.2413793103448276,0.22110162916989914
